ranking,tv_names,tv_ratings,no_of_votes,release_year,no_of_episodes
144,Demon Slayer: Kimetsu no Yaiba,8.6,133000,2019,55
145,Mindhunter,8.6,315000,2017,19
146,The Return of Sherlock Holmes,8.7,13000,1986,13
147,Gomorrah,8.7,43000,2014,58
148,Archer,8.6,162000,2009,143
149,Mystery Science Theater 3000,8.6,25000,1988,199
150,The Offer,8.6,36000,2022,10
151,Haikyu!!,8.7,32000,2014,89
152,Blackadder the Third,8.6,46000,1987,6
153,Young Justice,8.6,44000,2010,98
154,Poirot,8.6,49000,1989,70
155,Mr,8.6,128000,1990,15
156,Dopesick,8.6,70000,2021,8
157,Yes Minister,8.7,16000,1980,22
158,Pose,8.6,32000,2018,26
159,Anne with an E,8.6,62000,2017,27
160,Yellowstone,8.7,190000,2018,53
161,QI,8.6,33000,2003,324
162,Crash Landing on You,8.7,37000,2019,19
163,The Newsroom,8.6,121000,2012,25
164,Justified,8.6,113000,2010,78
165,Boardwalk Empire,8.6,198000,2010,56
166,The Bugs Bunny Show,8.6,35000,1960,78
167,The Haunting of Hill House,8.6,266000,2018,10
168,Making a Murderer,8.6,100000,2015,20
169,Justice League,8.6,50000,2001,52
170,The Bureau,8.7,13000,2015,50
171,El Chavo del Ocho,8.7,12000,1972,357
172,Homicide: Life on the Street,8.7,14000,1993,122
173,The Queen's Gambit,8.5,510000,2020,7
174,The Venture Bros,8.6,27000,2003,86
175,The Eric Andre Show,8.6,21000,2012,69
176,Flight of the Conchords,8.6,64000,2007,22
177,Dragon Ball,8.6,63000,1986,153
178,Dragon Ball,8.6,63000,1995,153
179,What We Do in the Shadows,8.6,92000,2019,51
180,Battlestar Galactica,8.5,79000,2003,2
181,Coupling,8.6,47000,2000,28
182,Mr Inbetween,8.6,25000,2018,26
183,The Bear,8.6,152000,2022,18
184,Black Sun,8.9,12000,2017,20
185,Impractical Jokers,8.6,44000,2011,278
186,Heartstopper,8.6,71000,2022,24
187,The Family Man,8.7,94000,2019,20
188,"Yes, Prime Minister",8.6,12000,1986,16
189,Spaced,8.5,57000,1999,14
190,Samurai Champloo,8.6,53000,2004,26
191,Mr,8.5,406000,2015,45
192,The IT Crowd,8.5,160000,2006,25
193,Long Way Round,8.6,15000,2004,10
